"title","url","course_num","subjects","grade_levels","length","type","uccsu","prereq","enroll_criteria","fulfillment","description"
"Chemistry","https://curriculum.siprep.org/courses/chemistry-physical-science/","3030","Science","10, 11, 12","Year","Elective","D","Biology, Algebra 1","Math GPA 2.0 or higher","One of two years of science; UC approved laboratory science course","Chemistry (Physical Science) is the scientific study of matter. This course aims to develop students as practicing laboratory scientists who can ask and answer questions of their own about what the world is made of and how and why chemical reactions occur. This course also aims to develop students’ conceptual and quantitative understanding of chemical principles. Units of study in this course include the nature of the atom, naming of chemicals and compounds, bonding, the periodic table, reactions and equilibrium, stoichiometry, behavior of gases, acids, bases, and safe laboratory practices."
"Chemistry Honors","https://curriculum.siprep.org/courses/chemistry-honors-physical-science/","3033","Science","10, 11, 12","Year","AP/Honors, Elective","D","Biology, Algebra 1 Accelerated or Algebra 2 Honors","Science GPA 3.3 or higher and Overall GPA of 3.3 or higher","One of two years of science; UC approved laboratory science course","The (Physical Science) honors course differs from the non-honors course in that each topic is covered in more detail, at a faster pace, and with greater mathematical rigor."
"Cine Mexicano","https://curriculum.siprep.org/courses/cine-mexicano/","4147","Spanish","10, 11, 12","Semester","Elective","E","Available to students who have completed Spanish 3, 3H, 4 or 4AP","Minimum semester grade of C+ in Spanish 3H, 4 or 4AP. Students who have completed only Spanish 3 must have recommendation of Language Department Chair.","Meets one semester of language graduation requirement","Students will explore Mexico through the lens of film for one semester in this advanced Spanish course designed for students who wish to improve their Spanish language skills and cultural knowledge. In class, students will view full-length feature films, shorts, and documentaries. Students will learn about the Golden Era of Mexican Film during the 1940’s and 1950’s. Students will focus on New Mexican Cinema with films from the 2010’s. Students will learn to appreciate Mexican directors, like Luis Buñuel & Claudia Saint-Luce, and actors, like Pedro Infante, Mario Moreno “Cantinflas”, Blanca Estela Pavón, Karla Souza, Eugenio Derbez. Students will gain perspective on the Mexican experience, taking a critical look at poverty and wealth, gender issues, music as a tool for change, migration, and the family unit amongst other themes. Students will be asked to view a brand new Mexican movie at a film festival. In-class discussions will provide a forum for students to think critically and trade ideas with each other. Writing assignments will include movie critiques and alternative final scenes. Students will get to make their own short films as well. In order to immerse students, the class will be conducted in Spanish and students are expected to speak Spanish in class. *This class will be offered pending adequate enrollment."
"Competitive Speech and Debate (8) 8th period","https://curriculum.siprep.org/courses/competitive-speech-and-debate-8-8th-period/","9440","College Preparatory Electives","10, 11, 12","Year","Elective","G","Have successfully completed English 100 or 103H","Receive a recommendation from current English or History teacher. Have competed with SI's Speech and Debate team for a year.","","Communication about many serious issues in the modern day is often marked by a distinct lack of nuance, reliability, and articulate expression. Competitive Speech and Debate is a course designed to help build the skills necessary to communicate effectively and persuasively in today’s world. Student will build all the necessary skills to do credible research, critically organize their thoughts, and compose writing that effectively articulates their point of view. Students will employ the skills they learn in competitive settings to receive feedback from a wide range of audiences, understanding the nuances of communicating their thoughts to diverse groups. Some of the outcomes for students who take this class are: Advanced Communication Skills Critical Thinking Proficiency Confidence in Public Speaking Collaborative and Ethical Discourse Adaptive Leadership and Civic Engagement UC/CSU Subject G Approval This course is offered outside of the 9:00 am – 2:45 pm school day."
"Cuentos Cortos – Short Stories","https://curriculum.siprep.org/courses/cuentos-cortos-short-stories/","4149","Spanish","11, 12","Semester","Elective","G","Spanish 3, 3H, 4 or 4AP","Minimum semester grade of C+ in Spanish 3, plus recommendation of Language Department Chair","Meets one semester of language graduation requirement","In this one semester Spanish course, students will explore, use and improve their Spanish by reading outstanding short stories by some of the most successful authors of our time; Gabriel García Márquez, Isabel Allende, Julio Cortázar, Jorge Luis Borges, Carlos Fuentes, & Juan Rulfo, just to name a few. Students will read ONE short story per week. Students will be asked to read, understand, & analyze these short stories. For quizzes students will need to recall characters, vocabulary, and storylines and critically think about themes. Class discussions and debates will provide a forum for students to become literature critics and trade ideas with the teacher and classmates regarding the messages provided in the stories. Students will be able to strengthen their grammar, vocab and speaking skills in Spanish. In order to immerse students in the target language, the class will be conducted in Spanish and students are expected to speak Spanish at all times. * This class will be offered pending adequate enrollment."
"Cura Personalis","https://curriculum.siprep.org/courses/wellness-9-general-physical-education-wellness/","7100","PE/Wellness","9","Semester","Core Lower-Division","","None","All students must enroll","Required for graduation","Cura Personalis ( translated from Latin as “Care for the Whole Person”) is a required one-semester course for freshmen focused on a multi-dimensional understanding of personal wellness. Students explore a variety of topics in the areas of mental health, social health, drug & alcohol awareness, sexual health, and physical fitness. Students are encouraged to explore their own personal values and beliefs while also learning new information and identifying resources that support each student’s aspirations to maximize their potential. Throughout the semester, students are instructed in mindfulness, including the establishment of a meditation practice. Cura Personalis is a Pass/Fail class that does not impact a student’s GPA."
"Dance 1A: Ballet, Jazz, and Social Dance","https://curriculum.siprep.org/courses/dance-1a-ballet-jazz-and-social-dance-2/","6601","Fine Arts","9, 10, 11, 12","Semester","Elective","F","None","None","One semester of Fine Arts graduation requirement","Important Arts Department Information Dance 1A is a survey course that will introduce movers of all experience levels to a wide range of dance genres. The course will include physical practice in the techniques of ballet, jazz dance, and social dance. Students will study dance history, dance composition, and improvisational techniques. Through written work and class discussions, students will learn to analyze dance performance as an art form, through a critical, informed, and appreciative lens. Students will work collaborative to explore dance elements and perform choreographed dances in a supportive community environment."
"Dance 1A: Ballet, Jazz, and Social Dance (Special Section)","https://curriculum.siprep.org/courses/dance-1a-ballet-jazz-and-social-dance/","6601","Fine Arts","9, 10, 11, 12","Semester","Elective","F","None","None","One semester of Fine Arts graduation requirement","DANCE 1A is a special section of the introductory survey course designed for dancers with at least one year of prior dance training in any style. DANCE 1A(P) will include physical practice in the techniques of ballet, jazz dance, and social dance, with a greater focus on technical proficiency and performance skills. Students will study dance history, dance composition, and improvisational techniques. Through written work and class discussions, students will learn to analyze dance performance as an art form through a critical, informed, and appreciative lens. Students will work collaboratively to explore dance elements and perform choreography both in class and in public performance. To be approved for the special section of DANCE 1A(P) , students must audition in person, by video or get approval from the Dance Director."
"Dance 1A: Ballet, Jazz, and Social Dance (Special Section)","https://curriculum.siprep.org/courses/dance-1a-ballet-jazz-and-social-dance-special-section/","6604","Fine Arts","9, 10, 11, 12","Semester","Elective","F","In-person or video audition","None","One semester of Fine Arts graduation requirement","DANCE 1A is a special section of the introductory survey course designed for dancers with at least one year of prior dance training in any style. DANCE 1A(P) will include physical practice in the techniques of ballet, jazz dance, and social dance, with a greater focus on technical proficiency and performance skills. Students will study dance history, dance composition, and improvisational techniques. Through written work and class discussions, students will learn to analyze dance performance as an art form through a critical, informed, and appreciative lens. Students will work collaboratively to explore dance elements and perform choreography both in class and in public performance. To be approved for the special section of DANCE 1A(P), students must audition in person, by video or get approval from the Dance Director. Contact the Dance Director for more information on audition requirements."
"Dance 1B: Modern Dance & Choreography","https://curriculum.siprep.org/courses/dance-1b-modern-dance-choreography/","6602","Fine Arts","9, 10, 11, 12","Semester","Elective","F","Students must complete Dance 1A before taking Dance 1B","None","One semester of Fine Arts graduation requirement","Dance 1B is a movement-based studio course designed to further the development of the dancer in the principles and elements of modern dance practice and choreography. The class will include physical practice in contemporary/modern dance technique. Students will study dance history, choreographic processes, and improvisational techniques. Through written assignments and class discussions, students will grow in their ability to analyze dance performance as an art form through a critical, informed, and appreciative lens. Students will work collaboratively to explore dance elements and perform choreographed dances in a supportive community environment."
"Dance Workshop C","https://curriculum.siprep.org/courses/dance-workshop-c/","9703","Performing Arts","9, 10, 11, 12","Semester","Elective","F","None","Admission by audition only. Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","Elective; this class is not counted in the student's SI GPA","Dance Workshop is a production-focused studio course in dance technique and performance, focusing on ballet, jazz, and contemporary dance styles. All dancers are welcome to audition, with no prior experience necessary. Auditions allow the director to place students into groups based on approximate levels of technique and artistry. Each group will have one required technique class per week and one rehearsal. Students will rehearse choreographed dances in a supportive community environment and present a dance concert at the end of the semester. One semester; offered after school/evenings ONLY Time commitment: Meets 1-2 afternoons per week, 3 hours per meeting, plus performances. This course is offered outside of the 9:00 am – 2:45 pm school day."
"Drama 1A: Intro to Theatre","https://curriculum.siprep.org/courses/drama-1a-intro-to-theatre/","6210","Fine Arts","9, 10, 11, 12","Semester","Elective","F","None","None","One semester of Fine Arts graduation requirement","In Drama 1A, we will explore various approaches to acting. We will begin by playing a series of theatre games, move to improvisations, then perform professionally scripted and student-written monologues. Students will develop an approach to enact short monologues from professional play scripts for final presentation. Students will receive an overview of the major historical periods of theatre history throughout the world from Ancient Greece to the 19 th Century using student projects and teacher presentations. By the end of the course, students will have developed an appreciation for the art of the theatre, a respect for working within an ensemble of artists, and an appreciation for the variety of approaches to actor training."
"Drama 1B: Advanced Acting","https://curriculum.siprep.org/courses/drama-1b-advanced-acting/","6211","Fine Arts","9, 10, 11, 12","Semester","Elective","F","Drama 1A: Intro to Theatre or equivalent experience","None","One semester of Fine Arts graduation requirement","Students will continue the study and development of acting through scene work. While building on the principles and techniques learned in Drama 1A , students will participate in group warm-ups (vocal and physical), theatre games, improvisations, and advanced theatre exercises. Students will work on scenes from professionally produced plays. Students will study 20 th Century theatre through the study of playwrights such as Tennessee Williams, Arthur Miller, and August Wilson."
"Drama C: Advanced Musical Theater Workshop (Spring)","https://curriculum.siprep.org/courses/drama-1c-advanced-musical-theater-workshop-spring/","9710","Performing Arts","9, 10, 11, 12","Semester","Elective","F","None","Permission of instructor. Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","Drama 1C: Advanced Musical Theatre Workshop is an after-school workshop exploring drama, dance and music theories and their application in performance. To that end, students will explore acting, singing, dancing, rehearsal, performance, and technical/design skills culminating in the production of a full-length Broadway musical in the Spring semester. Students will also learn about the historical and cultural significance of the selected piece of musical theatre. Students are admitted on the basis of a competitive audition and interviews held at the beginning of the semester. This course is offered outside of the 2 :45 am – 3:00 pm school day. Meets 3-5 times per week, afternoons or evenings, 3 hours per meeting. *This class is not counted in the student’s SI GPA"
"Drama C: Advanced Theater Workshop (Fall)","https://curriculum.siprep.org/courses/drama-1c-advanced-theater-workshop-fall/","9710","Performing Arts","9, 10, 11, 12","Semester","Elective","F","None","Permission of instructor. Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","This course is an after-school workshop in acting, rehearsal, performance, and technical/design skills culminating in the production of a full-length play in the fall semester. Students are admitted on the basis of a competitive audition held at the beginning of the semester. Four additional students may be selected to the positions of stage manager, stage crew chief, lighting designer on the basis of in-depth interviews. These students will work alongside professionals over the course of the production developing knowledge and skills in each specialized area and their application in performance. This course is offered outside of the 9:00 am – 2:45 pm school day. Meets 3-5 times per week, afternoons or evenings, 3 hours per meeting. *This class is not counted in the student’s SI GPA"
"Economics","https://curriculum.siprep.org/courses/economics/","5430","Social Science","11, 12","Semester","Elective","G","Introduction to Ethnic Studies and Modern World History","None","","This course introduces students to the fundamental principles of economic theory and practice. Students develop a working definition of economics, undergo an extensive introduction to supply and demand and laws that relate to supply and demand. They also are exposed to the variety of political systems and their effect on economic theory including socialism, capitalism, and communism. Types of businesses are explained including sole proprietorships, partnerships, and corporations. The pros and cons of each type of organization are discussed. Other important concepts are explored including pricing, gross national product, inflation, taxation, and selected economic indicators."
"Economics Honors","https://curriculum.siprep.org/courses/economics-honors/","5440","Social Science","11, 12","Semester","AP/Honors, Elective","G","Introduction to Ethnic Studies and Modern World History","Student must apply to enroll. To be accepted, students must have demonstrated a history of academic achievement.","","This course introduces students to the fundamental principles of economic theory and practice. Students develop a working definition of economics, undergo an extensive introduction to supply and demand and laws that relate to supply and demand. They also are exposed to the variety of political systems and their effect on economic theory including socialism, capitalism, and communism. Types of businesses are explained including sole proprietorships, partnerships, and corporations. The pros and cons of each type of organization are discussed. Other important concepts are explored including pricing, gross national product, inflation, taxation, and selected economic indicators. The honors curriculum for this course will require college-level economics research papers as well as participation in an outside experience (e.g. an interview). Class receives honors weighing in SI weighted GPA and UC/CSU GPA calculations"
"Engineering","https://curriculum.siprep.org/courses/engineering-physical-science/","3058","Science, Technology & Engineering","11, 12","Year","Elective","G","Chemistry, Physics","Science GPA 2.0 or higher","One of two years of science","Engineering consists of the application of scientific knowledge in the creation of useful products. This course acts as an introduction to the concepts and methods of engineering with an intensive hands-on laboratory/workshop component. Students will be expected to conceptualize, design, build, and debug a variety of projects, working independently or in collaboration with other students. Units of study vary by semester, allowing students to take either or both semesters in a single year, and may include mechanical, electrical, robotic, computer, aeronautical, automotive, acoustic, naval, civil, fluid and/or chemical engineering. Several off-campus field trips to visit engineering sites or companies may be required. (Since engineering is not, strictly speaking, a science , this course does not qualify as a UC-approved lab science.)"
"English 100","https://curriculum.siprep.org/courses/english-100/","1100","English","9","Year","Core Lower-Division","B","None","None","","The purpose of freshman English is three-fold: 1) to master certain grammatical material that will aid in the discussion of composition, 2) to begin a systematic approach to writing, and 3) to identify certain literary concepts in a variety of literary genres. To achieve these goals, English 100 presents the incoming students with a course of study that exposes them to the forms of literature: the short story, non-fiction essay, poem, drama, and novel. Freshman English also presents the students with various writing assignments that will start them on the process of building a personal writing style. The subjects for these assignments move from the students’ own experiences to topics related to their reading, and the movement during the course of the year is from narrative and descriptive writing to writing that is more expository in nature. Writing assignments generally will progress from one-page papers at the beginning of the year to longer essays at the end of the year. By the end of the course, the student will have written approximately 10-12 papers in a variety of rhetorical modes including creative, descriptive, narrative, expository, and literary analysis writing. The student will also have completed at least one multi-paragraph expository essay."
"English 103 Honors","https://curriculum.siprep.org/courses/english-103h/","1103","English","9","Year","Core Lower-Division","B","None","High performance on entrance exam","","The major difference between English 100 and English 103H is in the number of books that are read and their inherent difficulty, in the mode of instruction in the classroom, in the student initiative required, and in the number of writing assignments and their increasing and various difficulty. Class receives honors weighting in SI weighted GPA"
"English 200","https://curriculum.siprep.org/courses/english-200/","1200","English","10","Year","Core Lower-Division","B","English 100 or 103H","All sophomore students must enroll","","English 200 continues the course of study begun in the freshman year. Skills learned the previous year are refined, expanded, and enhanced. Basic grammar is reviewed and new material introduced throughout the year. The lower division writing sequence continues with a review of paragraph writing, which leads into the year’s emphasis on descriptive, narrative, and expository essay writing. Students will write approximately 10-12 papers in a variety of rhetorical modes. The writing becomes not only more formal, but increased in length as well with students writing multi-paragraph expository essays by the end of the first quarter. The reading of literature includes all the major genres: novel, drama, poetry, short story, and essay; however, the study of literature shifts from an organization by form to an organization by themes that reveal an insight into the human condition."
"English 203 Honors","https://curriculum.siprep.org/courses/english-203h/","1203","English","10","Year","Core Lower-Division","B","English 100 or 103H","See Criteria for Honors Enrollment","","The major difference between this honors course and the regular sophomore course is in the number of books that are read and their inherent difficulty, in the mode of instruction in the classroom, in the student initiative required, and in the number of writing assignments (generally 2-3 additional essays per year) along with their increasing and various difficulty. Class receives honors weighting in SI weighted GPA"
"English 300","https://curriculum.siprep.org/courses/english-300/","1300","English","11","Year","Core Upper-Division","B","English 100 or 103H; English 200 or 203H","All junior students must enroll","","English 300 covers the literature of the United States from the Puritan Era to the present. All the forms of literature which have been studied specifically in themselves during the first two years are now studied as they emerge historically through the imaginative lives of major U.S. authors. This course complements the study of American History, which is also taken during the junior year. The students’ writing aims at greater and greater control over the expository essay and specifically at developing analytical theses on literature. Students will write at least twelve papers during the year in various rhetorical modes including the personal narrative (at least 1), the expository essay (5-7), the synthesis essay, the timed quick-write, and the creative composition. After consulting with their teachers, students taking this course may opt to take the AP Language and Composition examination. Both this course and the honors course prepare students to pass the Junior Writing Exam taken in the second semester. Students who do not pass this exam with an acceptable score must take Literature and Composition: Non-fiction during the senior year."
"English 303 Honors","https://curriculum.siprep.org/courses/english-303h/","1303","English","11","Year","Core Upper-Division","B","English 100 or 103H; English 200 or 203H","See Criteria for Honors Enrollment","","English 303H fulfills all the goals of English 300 but requires the students to read several more books and to write longer and more (approximately 20) papers. These papers require a good understanding of the forms of literature in order that the students will be able to formulate and support accurate, interpretative theses about the literature under study. At the end of 303H, students usually take the AP English Language and Composition examination. Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations."
"English 420: Satire in Literature and Popular Culture","https://curriculum.siprep.org/courses/english-420-satire-in-literature-and-popular-culture/","1420","English","12","Semester","Elective","B","English 100 or 103H; 200 or 203H; 300 or 303H","None","Eight-semester graduation requirement","This is a course designed to analyze how art uses satire to question the major social and political challenges of our times. Effective satire often tries to institute a change in thought or behavior either on the part of the subject of the satire, the audience, or the reader. Using a variety of critical lenses, students will explore satire in the essay, short story, novel, film, and in popular representation in the media. Students will be able to differentiate between farce, spoof, parody, irony, and satire, and use those skills in creative projects of their own. Students will also write an analytical research paper to explore the ways that satire can be used to change hearts and minds. Some sample texts include: A Modest Proposal , Jonathan Swift; Candide , Voltaire; Mister Monkey , Francine Prose; selected articles by Christopher Hitchens, Alessandra Stanley, Nora Ephron; Text from Adbusters , The Onion, & topical, popular memes; and films such as Mean Girls, Shrek, Brazil."
"English 435: Women in Literature","https://curriculum.siprep.org/courses/english-435-women-in-literature/","1435","English","12","Semester","Elective","B","English 100 or 103H; 200 or 203H; 300 or 303H","None","Eight-semester graduation requirement","This course is designed to investigate various portrayals of women in literature, film, and other media in order to learn how gender roles develop and change in different historical, political, and cultural contexts. Through a study of diverse literary greats – Virginia Woolf, Emily Bronte, Sylvia Moreno-Garcia, and others—we will examine the myriad images of women in literature. We will explore how women have accepted, struggled against, and transformed traditional roles of daughter, sister, friend, wife, and mother. This course involves critical thinking about contemporary issues and will prepare the student for a college introductory composition class. The writing in the course will be both expository and creative; we will react critically to the works we read, and we will continue to develop our personal literary “voices.” The goal of the course is to broaden our understanding– historically, socially, economically, spiritually — of women, of men and women in relationships, of the cultural forces that make “gender” such a compelling, interesting topic. This course promises to be exciting and valuable to women and men; all are encouraged to join in the adventure of “Women in Literature.”"
"English 450: Mythology","https://curriculum.siprep.org/courses/english-450-mythology/","1450","English","12","Semester","Elective","B","English 100 or 103H; 200 or 203H; 300 or 303H","None","Eight-semester graduation requirement","In this single semester course, students will investigate the patterns and archetypes of world mythology by reading a variety of ancient myths, in addition to plays, short stories, poems, and novels that utilize the themes and characters inspired by myth. Students will consider different theories concerning the origin of myths and the function that this genre serves in the development of the individual and society. Units of study will include creation myths from around the world, Mesopotamian myths, classical myths, the Hero’s Journey pattern, Norse mythology and modern works inspired by mythology. In addition to enjoying the irresistible charm of fantasy, students will also analyze the “truths” or the myths by discussing the relevance of mythological themes in the modern world. Students will purchase core texts; however, we will study numerous excerpts from on-line sources, particularly the Perseus Project. Another component of this class will be working on writing skills, including the expository essay and creative writing."
"English 473: Exploration in American Culture","https://curriculum.siprep.org/courses/english-473-burning-illusions-exploration-in-american-culture/","1473","English","12","Semester","Elective","B","English 100 or 103H; 200 or 203H; 300 or 303H","None","Eight-semester graduation requirement","Designed as a critical thinking and writing course for seniors, this course investigates the evolution of the United States through social, cultural, economic, and ideological lenses. Examination of the growth of American society and myths through a diverse set of readings enables students to grasp the connections and struggles between the powerful and the disenfranchised throughout American history. The readings illuminate and deconstruct American cultural myths through a broad range of topics (family, education, power, race — and mediums such as fiction, nonfiction, music (jazz, folk, rock, hip-hop) and film. By fostering intellectual independence essential to not only critical thinking, but to becoming “men and women with and for others,” this course benefits and welcomes students of all backgrounds. Featured authors include Toni Morrison, Maxine Hong Kingston, Cornel West, Tomas Rivera, and Malcolm X. Students will engage in expository, creative, and autobiographical writing. Students enrolled in this class are required to participate in San Francisco State University’s Dual Enrollment Ethnic Studies course and will earn college credit from SF State. Instructions for completing the dual enrollment process will be provided after students are registered for the class . No additional coursework is required to receive college credit. Please reach out to Ms. Nikki Narvaez ( nnarvaez@siprep.org ), English Department Chair, with any questions."
"English 482: Literature and Composition: Non Fiction","https://curriculum.siprep.org/courses/english-482-literature-and-composition-non-fiction/","1482","English","12","Semester","Elective","B","English 100 or 103H; 200 or 203H; 300 or 303H","Open to all seniors but required for all who do not pass the Junior Writing Exam with an acceptable grade.","Eight-semester graduation requirement and required for graduation for those who do not pass the Junior Writing Exam","This single semester course aims at developing the essentials of good expository and persuasive writing — the ability to generate, develop, and organize ideas. The course will address and work through specific writing problems that stand in the way of effective written expression. Students will be given ample opportunity to improve and refine techniques of composition that will aid them in producing effective college-level papers. This course is open to all seniors intent upon actively strengthening their writing skills and is required for all seniors who did not pass the Junior Writing Exam."
"English Electives","https://curriculum.siprep.org/courses/english-electives/","","","","","","","","","","View the English electives available to seniors"
"Environmental Science: An Ecological Perspective","https://curriculum.siprep.org/courses/environmental-science-an-ecological-perspective-natural-science/","3052","Science","11, 12","Year","Elective","D","Biology, Chemistry","Science GPA 2.0 or higher; algebra 1 (or higher) with a C or better.","One of two years of science","Environmental science is the study of our natural environment, with an emphasis on humanity’s impact on the environment. This is a project and inquiry-learning based course that investigates the science behind today’s environmental issues. Students will be immersed in hands-on science activities, group work, discussions of current scientific research, a long-term scientific investigation, decision-making based on their critical thinking skills, and the design of inquiry-based experiments. The course is arranged in independent modules that offer students a holistic approach towards environmental issues by exploring current environmental problems from a scientific interdisciplinary perspective. While topics will focus of life science related issues, we will also incorporate some basic geological, physical, chemical and technological components that directly impact living creatures."
"Español Moderno","https://curriculum.siprep.org/courses/espanol-moderno/","4145","Spanish","10, 11, 12","Semester","Elective","G","Spanish 3, 3H, 4 or 4AP","Minimum semester grade of C+ in Spanish 3H, 4 or 4AP. Students who have completed only Spanish 3 must have recommendation of Language Department Chair.","Meets one semester of language graduation requirement","This is an advanced, semester-long course designed for students who wish to improve their Spanish language skills and cultural knowledge, with particular emphasis on the improvement of oral communication skills. Students will gain a better understanding of the culture, history and traditions of Latin America and Spain by watching films and participating in class debates and discussions. New vocabulary and expressions will be taught to allow the students a better understanding of the authentic materials used in class. The class will review some of the advanced grammar structures learned in previous classes, but no new grammar structures will be covered. This class will be conducted in Spanish, and students will be expected to speak Spanish at all times. *This class will be offered pending adequate enrollment."
"Foundations of Ethics, Morality & Justice: RS 300","https://curriculum.siprep.org/courses/foundations-of-ethics-morality-justice-rs-300/","8300","Religious Studies","11","Year","Core Upper-Division","G","Religious Studies 101, 201","All juniors must enroll","Requirement for graduation","The foundation to this course is the call to uphold and promote the Gospel message of Jesus Christ. This two-semester course engages students in the broad philosophical and theological discussions of good and evil, right and wrong, freedom and duty, in and beyond the practical moral decisions of everyday life. The first semester establishes an understanding of human dignity, informed conscience, and emphasizes a spectrum of principles and virtues. The second semester introduces the tradition of social justice, Catholic social teaching, and the common good. Students will tackle some of the most compelling dilemmas and dreams of the human experience."
"Geometry","https://curriculum.siprep.org/courses/geometry/","2201","Mathematics","10","Year","Core Lower-Division","C","Algebra 1 or Higher","Sophomore standing","Required for graduation","The course reviews the basic concepts, terminology, and notation involved in geometry, and is designed for the student who successfully completed Algebra 1 as a freshman, though any student may apply. Both abstract and practical aspects are covered. Conditional statements, conjectures, theorems, and written justifications are systematically brought into the course, along with the subjects to which they pertain, in the context of problem solving as well as in the context of the preparation of formal proofs. Students construct an understanding by spending some of their class time working in collaborative learning groups. Review of algebraic and geometric concepts is employed throughout the course. In this way, algebra skills are maintained and the students are better prepared to enter into the geometric aspects of advanced algebra, math analysis, precalculus, and calculus courses. A Texas Instruments TI-83 or TI-84 series graphing calculator is required."
"Geometry Accelerated","https://curriculum.siprep.org/courses/geometry-accelerated/","2202","Mathematics","10","Year","Core Lower-Division","C","Algebra 1 or Higher","Approval of Department Chair, based on teacher recommendation; past performance in English, Foreign Language, and Math; standardized test scores (math, language, reading)","Required for graduation","This course follows generally the description of the traditional geometry course but also includes more proof (direct and indirect; in two-column, flow, and paragraph form). This course is designed for the student who successfully completed Algebra 1Acc as a freshman, but any student may apply. Within the context of Geometry, the Accelerated course includes more challenging algebraic applications, such as solving quadratic equations. It also includes an introduction to analytic geometry and trigonometry, helping to prepare students for Precalculus. A Texas Instruments TI-83 or TI-84 series graphing calculator is required."
"Geometry Honors","https://curriculum.siprep.org/courses/geometry-honors/","2203","Mathematics","10","Year","AP/Honors, Core Lower-Division","C","Algebra 1 or Higher","Approval of Department Chair, based on teacher recommendation; past performance in English, Foreign Language, and Math; standardized test scores (math, language, reading)","Required for graduation","This course follows generally the description of the traditional geometry course but provides extensive experience from early stages with the devising, presentation, and defense of student proofs and the theoretical consideration of the nature of proof (direct and indirect; in two-column, flow, and analytical paragraph form). The Honors course includes a more extensive coverage of solid geometry, an introduction to analytic geometry and trigonometry, and opportunities for curricular enrichment in problem-solving. Additional topics include vectors, trigonometric identities, conic sections, and the study of trigonometric and circular functions. Within the context of Geometry, the Honors course includes more challenging algebraic applications, such as solving quadratic, rational, irrational, logarithmic, and exponential equations. This course is designed for the student who successfully completed Algebra 2H as a freshman, but any student may apply. A Texas Instruments TI-83 or TI-84 series graphing calculator is required. * Class receives honors weighting in SI weighted GPA"
"Honors Linear Algebra Multivariable Calculus","https://curriculum.siprep.org/courses/honors-multivariable-calculus/","2430","Mathematics","12","Semester","AP/Honors, Elective","C","AP Calculus BC or AP Calculus AB and the approval of the Department Chair","Approval of Department Chair, teacher recommendations and satisfactory national test scores, minimum weighted Math Dept. GPA of 3.65 – with accelerated courses counting as +0.5 to the GPA for the accelerated course(s), and honors courses counting as +1.0 to the GPA for the honors course(s).","","This course covers differential, integral, and vector calculus for functions or more than one variable. These mathematical tools and methods are used extensively in the physical sciences, engineering, economics and computer graphics. The course opens with a unit on vectors, which introduces students to this critical component of advanced calculus and will culminate in Green’s Stokes’ and Gauss’ Theorems. We will study partial derivatives, double and triple integrals, and vector calculus in both two and three dimensions. Students are expected to develop fluency with vector and matrix operations. Understanding of parametric curves as a trajectory described by a position vector is an essential concept, and this allows us to break free from one-dimensional calculus and investigate paths, velocities, and other applications of science that exist in three-dimensional space. We study derivatives in multiple dimensions, we use the ideas of the gradient and partial derivatives to explore optimization problems with multiple variables, and we consider constrained optimization problems using Lagrangians. After our study of differentials in multiple dimensions, we move to integral calculus. We use line and surface integrals to calculate physical quantities especially relevant to mechanics and electricity and magnetism, such as work and flux, and we employ volume integrals for calculations of mass and moments of inertia. The study of systems of linear equations, the algebra of matrices, determinants, vector spaces, linear transformations, the algebra of linear transformations with an introduction to dual spaces, eigenvalues and eigenvectors, and the applications of vectors and matrices to linear equations and linear transformations. * Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations (UC/CSU Subject C Approval Pending)"
"Human Anatomy","https://curriculum.siprep.org/courses/human-anatomy-and-physiology-life-science/","3050","Science","10, 11, 12","Year","Elective","D","Biology","Science GPA 2.0 or higher","One of two years of science; UC-approved Laboratory science course","The focus of this course (Life Science) is the scientific study of the human body and its major components and systems. This course offers students a hands-on approach to learning through laboratory work (including preserved animal and organ dissections), student multimedia presentations, independent student research, case studies and field studies. Units of study include: levels of organization; body support and movement; communication and control; fluids and transport; homeostatic balance; human development; and the interrelationships between body systems."
"Introduction to Ethnic Studies","https://curriculum.siprep.org/courses/introduction-to-ethnic-studies/","5101","Social Science","9","Semester","Core Lower-Division","A","None","None","Required for graduation","Introduction to Ethnic Studies challenges students to frame their individual identity, their family history, and their community history through the lenses of race, ethnicity, gender, nationality and culture. Students will examine case studies that identify problems and analyze causes of systemic inequality through historical and contemporary contexts. This course will also focus on developing reading, writing, notetaking and dialogue skills necessary to create and present well-organized arguments. The semester-ending project will focus on the history and the work of a social movement. By the end of this course, students should have an understanding of what it means to live responsibly and ethically as men and women with and for others."
"Introduction to Finance","https://curriculum.siprep.org/courses/introduction-to-finance/","2474","Mathematics","12","Year","Elective","C","Algebra 2, Precalculus Accelerated or Precalculus Honors","Grade of B or better in Algebra 2, Approval of Department Chair, teacher recommendation.","","Students taking this elective will develop the skills needed to make sound financial decisions. Topics will include planning your career, payroll and taxes, banking, credit, budgeting, purchasing, basic economics, an introduction to stats and business ethics. All of these topics will be taught through a lens of fiscal and ethical responsibility. This course also extends beyond personal finance to some topics more relevant to college level business and finance courses. Therefore, it can provide a stronger foundation for students considering that path of study in college."
